Department,Hire_Date,Termination_Date,Tenure,Tenure_Distribution
Accounting,2004-03-14,,NULL,"LEGACY TENURE"
Accounting,2014-09-22,,NULL,"LEGACY TENURE"
Accounting,2020-05-23,,NULL,"LEGACY TENURE"
Accounting,2015-08-23,2021-10-10,6.1370,"MEDIUM TERM"
Accounting,2011-10-22,,NULL,"LEGACY TENURE"
Accounting,2015-09-04,,NULL,"LEGACY TENURE"
Accounting,2003-07-01,,NULL,"LEGACY TENURE"
Accounting,2007-12-16,,NULL,"LEGACY TENURE"
Accounting,2020-07-30,,NULL,"LEGACY TENURE"
Accounting,2018-10-04,,NULL,"LEGACY TENURE"
Accounting,2017-08-02,,NULL,"LEGACY TENURE"
Accounting,2016-03-21,,NULL,"LEGACY TENURE"
Accounting,2012-10-26,,NULL,"LEGACY TENURE"
Accounting,2019-07-11,,NULL,"LEGACY TENURE"
Accounting,2013-06-19,,NULL,"LEGACY TENURE"
Accounting,2019-03-26,2027-03-03,7.9425,"MEDIUM TERM"
Accounting,2005-06-18,,NULL,"LEGACY TENURE"
Accounting,2018-10-04,,NULL,"LEGACY TENURE"
Accounting,2017-07-17,,NULL,"LEGACY TENURE"
Accounting,2008-11-01,,NULL,"LEGACY TENURE"
Accounting,2017-12-31,2035-08-20,17.6466,"LEGACY TENURE"
Accounting,2005-04-03,2012-12-10,7.6932,"MEDIUM TERM"
Accounting,2001-10-31,,NULL,"LEGACY TENURE"
Accounting,2016-10-24,,NULL,"LEGACY TENURE"
Accounting,2011-10-26,,NULL,"LEGACY TENURE"
Accounting,2006-11-04,,NULL,"LEGACY TENURE"
Accounting,2012-07-12,,NULL,"LEGACY TENURE"
Accounting,2008-08-27,,NULL,"LEGACY TENURE"
Accounting,2014-01-12,,NULL,"LEGACY TENURE"
Accounting,2017-03-17,2024-08-24,7.4438,"MEDIUM TERM"
Accounting,2015-09-30,2019-04-26,3.5726,"MEDIUM TERM"
Accounting,2018-10-08,2025-10-26,7.0548,"MEDIUM TERM"
Accounting,2010-10-02,,NULL,"LEGACY TENURE"
Accounting,2009-08-01,,NULL,"LEGACY TENURE"
Accounting,2006-01-18,,NULL,"LEGACY TENURE"
Accounting,2012-02-26,,NULL,"LEGACY TENURE"
Accounting,2009-02-06,,NULL,"LEGACY TENURE"
Accounting,2004-03-30,,NULL,"LEGACY TENURE"
Accounting,2019-08-20,2021-05-18,1.7452,"ENTRY LEVEL"
Accounting,2004-04-07,,NULL,"LEGACY TENURE"
Accounting,2020-07-27,,NULL,"LEGACY TENURE"
Accounting,2007-05-31,,NULL,"LEGACY TENURE"
Accounting,2005-10-18,,NULL,"LEGACY TENURE"
Accounting,2018-08-21,,NULL,"LEGACY TENURE"
Accounting,2013-12-07,2034-01-30,20.1616,"LEGACY TENURE"
Accounting,2020-09-28,,NULL,"LEGACY TENURE"
Accounting,2015-01-20,,NULL,"LEGACY TENURE"
Accounting,2002-02-13,,NULL,"LEGACY TENURE"
Accounting,2011-05-06,,NULL,"LEGACY TENURE"
Accounting,2012-05-06,,NULL,"LEGACY TENURE"
Accounting,2011-04-23,,NULL,"LEGACY TENURE"
Accounting,2019-10-05,,NULL,"LEGACY TENURE"
Accounting,2010-08-25,,NULL,"LEGACY TENURE"
Accounting,2008-08-17,2015-02-28,6.5370,"MEDIUM TERM"
Accounting,2003-10-25,,NULL,"LEGACY TENURE"
Accounting,2015-08-25,,NULL,"LEGACY TENURE"
Accounting,2007-04-19,,NULL,"LEGACY TENURE"
Accounting,2003-05-16,,NULL,"LEGACY TENURE"
Accounting,2019-07-15,,NULL,"LEGACY TENURE"
Accounting,2015-10-09,,NULL,"LEGACY TENURE"
Accounting,2015-01-09,,NULL,"LEGACY TENURE"
Accounting,2002-02-05,,NULL,"LEGACY TENURE"
Accounting,2003-04-25,,NULL,"LEGACY TENURE"
Accounting,2008-11-22,,NULL,"LEGACY TENURE"
Accounting,2005-06-14,2016-06-23,11.0329,"LONG TERM"
Accounting,2008-05-05,,NULL,"LEGACY TENURE"
Accounting,2002-10-09,,NULL,"LEGACY TENURE"
Accounting,2001-05-08,,NULL,"LEGACY TENURE"
Accounting,2002-11-29,,NULL,"LEGACY TENURE"
Accounting,2001-11-03,,NULL,"LEGACY TENURE"
Accounting,2018-02-09,,NULL,"LEGACY TENURE"
Accounting,2003-01-06,,NULL,"LEGACY TENURE"
Accounting,2008-11-05,,NULL,"LEGACY TENURE"
Accounting,2011-10-31,,NULL,"LEGACY TENURE"
Accounting,2020-09-13,,NULL,"LEGACY TENURE"
Accounting,2006-02-26,2011-12-04,5.7726,"MEDIUM TERM"
Accounting,2006-10-22,2010-08-06,3.7918,"MEDIUM TERM"
Accounting,2012-12-01,,NULL,"LEGACY TENURE"
Accounting,2004-06-14,2019-07-17,15.0986,"LONG TERM"
Accounting,2009-03-04,,NULL,"LEGACY TENURE"
Accounting,2003-10-22,2009-09-29,5.9425,"MEDIUM TERM"
Accounting,2010-06-08,,NULL,"LEGACY TENURE"
Accounting,2010-03-02,2018-01-29,7.9178,"MEDIUM TERM"
Accounting,2006-03-10,,NULL,"LEGACY TENURE"
Accounting,2015-12-26,,NULL,"LEGACY TENURE"
Accounting,2017-05-20,,NULL,"LEGACY TENURE"
Accounting,2011-08-11,,NULL,"LEGACY TENURE"
Accounting,2003-07-12,2021-08-30,18.1479,"LEGACY TENURE"
Accounting,2001-08-27,,NULL,"LEGACY TENURE"
Accounting,2009-02-07,,NULL,"LEGACY TENURE"
Accounting,2002-02-10,,NULL,"LEGACY TENURE"
Accounting,2015-01-26,,NULL,"LEGACY TENURE"
Accounting,2012-02-19,2023-11-22,11.7644,"LONG TERM"
Accounting,2003-05-06,,NULL,"LEGACY TENURE"
Accounting,2004-08-06,,NULL,"LEGACY TENURE"
Accounting,2019-02-06,,NULL,"LEGACY TENURE"
Accounting,2010-08-08,,NULL,"LEGACY TENURE"
Accounting,2008-04-15,,NULL,"LEGACY TENURE"
Accounting,2019-12-11,,NULL,"LEGACY TENURE"
Accounting,2014-10-15,,NULL,"LEGACY TENURE"
Accounting,2011-07-19,,NULL,"LEGACY TENURE"
Accounting,2010-05-20,,NULL,"LEGACY TENURE"
Accounting,2001-10-31,,NULL,"LEGACY TENURE"
Accounting,2007-10-17,,NULL,"LEGACY TENURE"
Accounting,2007-05-23,,NULL,"LEGACY TENURE"
Accounting,2014-03-22,,NULL,"LEGACY TENURE"
Accounting,2012-09-13,,NULL,"LEGACY TENURE"
Accounting,2018-02-26,,NULL,"LEGACY TENURE"
Accounting,2010-04-07,,NULL,"LEGACY TENURE"
Accounting,2009-02-07,,NULL,"LEGACY TENURE"
Accounting,2019-03-01,,NULL,"LEGACY TENURE"
Accounting,2008-02-07,,NULL,"LEGACY TENURE"
Accounting,2003-12-02,,NULL,"LEGACY TENURE"
Accounting,2004-06-05,,NULL,"LEGACY TENURE"
Accounting,2013-08-29,,NULL,"LEGACY TENURE"
Accounting,2009-08-16,,NULL,"LEGACY TENURE"
Accounting,2018-09-10,2035-04-01,16.5671,"LEGACY TENURE"
Accounting,2007-03-22,,NULL,"LEGACY TENURE"
Accounting,2006-04-03,,NULL,"LEGACY TENURE"
Accounting,2011-07-25,2028-12-28,17.4411,"LEGACY TENURE"
Accounting,2014-07-17,,NULL,"LEGACY TENURE"
Accounting,2019-06-28,,NULL,"LEGACY TENURE"
Accounting,2001-11-08,,NULL,"LEGACY TENURE"
Accounting,2011-05-23,,NULL,"LEGACY TENURE"
Accounting,2008-05-16,2019-02-26,10.7890,"LONG TERM"
Accounting,2007-03-07,,NULL,"LEGACY TENURE"
Accounting,2010-01-11,,NULL,"LEGACY TENURE"
Accounting,2017-10-10,,NULL,"LEGACY TENURE"
Accounting,2018-11-23,2023-06-06,4.5370,"MEDIUM TERM"
Accounting,2015-08-13,,NULL,"LEGACY TENURE"
Accounting,2006-12-21,,NULL,"LEGACY TENURE"
Accounting,2017-04-25,,NULL,"LEGACY TENURE"
Accounting,2009-08-03,,NULL,"LEGACY TENURE"
Accounting,2015-09-01,2022-05-01,6.6685,"MEDIUM TERM"
Accounting,2018-03-15,,NULL,"LEGACY TENURE"
Accounting,2019-04-02,,NULL,"LEGACY TENURE"
Accounting,2016-10-20,2036-01-16,19.2521,"LEGACY TENURE"
Accounting,2009-12-30,2010-11-16,0.8795,"ENTRY LEVEL"
Accounting,2013-08-05,,NULL,"LEGACY TENURE"
Accounting,2019-06-22,,NULL,"LEGACY TENURE"
Accounting,2013-10-07,,NULL,"LEGACY TENURE"
Accounting,2001-04-29,,NULL,"LEGACY TENURE"
Accounting,2005-05-10,,NULL,"LEGACY TENURE"
Accounting,2017-11-07,,NULL,"LEGACY TENURE"
Accounting,2006-07-14,,NULL,"LEGACY TENURE"
Accounting,2013-12-07,,NULL,"LEGACY TENURE"
Accounting,2015-08-02,2030-02-20,14.5644,"LONG TERM"
Accounting,2012-03-25,2016-07-03,4.2767,"MEDIUM TERM"
Accounting,2020-03-10,,NULL,"LEGACY TENURE"
Accounting,2006-01-01,,NULL,"LEGACY TENURE"
Accounting,2020-07-23,2027-01-30,6.5260,"MEDIUM TERM"
Accounting,2004-11-19,2008-12-23,4.0959,"MEDIUM TERM"
Accounting,2012-04-06,,NULL,"LEGACY TENURE"
Accounting,2000-10-25,,NULL,"LEGACY TENURE"
Accounting,2016-04-03,,NULL,"LEGACY TENURE"
Accounting,2012-09-13,,NULL,"LEGACY TENURE"
Accounting,2004-08-06,,NULL,"LEGACY TENURE"
Accounting,2012-02-21,,NULL,"LEGACY TENURE"
Accounting,2005-07-30,,NULL,"LEGACY TENURE"
Accounting,2020-08-16,2025-01-21,4.4356,"MEDIUM TERM"
Accounting,2008-01-06,,NULL,"LEGACY TENURE"
Accounting,2007-08-28,,NULL,"LEGACY TENURE"
Accounting,2008-01-23,,NULL,"LEGACY TENURE"
Accounting,2013-05-27,,NULL,"LEGACY TENURE"
Accounting,2003-09-15,2019-03-13,15.5014,"LEGACY TENURE"
Accounting,2017-07-03,,NULL,"LEGACY TENURE"
Accounting,2010-09-13,,NULL,"LEGACY TENURE"
Accounting,2018-02-18,,NULL,"LEGACY TENURE"
Accounting,2007-11-08,,NULL,"LEGACY TENURE"
Accounting,2019-01-07,,NULL,"LEGACY TENURE"
Accounting,2005-09-09,,NULL,"LEGACY TENURE"
Accounting,2013-11-01,,NULL,"LEGACY TENURE"
Accounting,2019-11-25,,NULL,"LEGACY TENURE"
Accounting,2017-01-06,2017-08-24,0.6301,"ENTRY LEVEL"
Accounting,2018-09-14,,NULL,"LEGACY TENURE"
Accounting,2006-03-25,,NULL,"LEGACY TENURE"
Accounting,2005-01-27,,NULL,"LEGACY TENURE"
Accounting,2004-11-26,2020-10-27,15.9288,"LEGACY TENURE"
Accounting,2018-09-07,2030-01-15,11.3644,"LONG TERM"
Accounting,2007-09-20,,NULL,"LEGACY TENURE"
Accounting,2010-03-31,,NULL,"LEGACY TENURE"
Accounting,2011-07-07,,NULL,"LEGACY TENURE"
Accounting,2016-07-31,,NULL,"LEGACY TENURE"
Accounting,2001-10-04,,NULL,"LEGACY TENURE"
Accounting,2019-02-25,,NULL,"LEGACY TENURE"
Accounting,2017-02-01,,NULL,"LEGACY TENURE"
Accounting,2003-08-31,,NULL,"LEGACY TENURE"
Accounting,2015-04-21,,NULL,"LEGACY TENURE"
Accounting,2014-09-18,2017-02-17,2.4192,"ENTRY LEVEL"
Accounting,2011-06-02,,NULL,"LEGACY TENURE"
Accounting,2013-04-09,2022-12-08,9.6712,"MEDIUM TERM"
Accounting,2006-05-08,2021-02-18,14.7945,"LONG TERM"
Accounting,2005-07-20,,NULL,"LEGACY TENURE"
Accounting,2009-09-19,,NULL,"LEGACY TENURE"
Accounting,2009-10-20,,NULL,"LEGACY TENURE"
Accounting,2020-10-06,,NULL,"LEGACY TENURE"
Accounting,2000-11-30,,NULL,"LEGACY TENURE"
Accounting,2006-08-09,2015-10-20,9.2027,"MEDIUM TERM"
Accounting,2012-01-05,2019-06-18,7.4548,"MEDIUM TERM"
Accounting,2019-05-13,,NULL,"LEGACY TENURE"
Accounting,2010-08-25,,NULL,"LEGACY TENURE"
Accounting,2013-08-08,,NULL,"LEGACY TENURE"
Accounting,2008-06-20,2018-07-16,10.0767,"MEDIUM TERM"
Accounting,2016-12-16,,NULL,"LEGACY TENURE"
Accounting,2020-07-28,,NULL,"LEGACY TENURE"
Accounting,2004-08-23,,NULL,"LEGACY TENURE"
Accounting,2013-11-25,,NULL,"LEGACY TENURE"
Accounting,2008-08-11,,NULL,"LEGACY TENURE"
Accounting,2002-06-16,,NULL,"LEGACY TENURE"
Accounting,2020-07-21,2023-08-09,3.0521,"MEDIUM TERM"
Accounting,2012-07-19,,NULL,"LEGACY TENURE"
Accounting,2020-06-01,,NULL,"LEGACY TENURE"
Accounting,2020-04-18,,NULL,"LEGACY TENURE"
Accounting,2011-09-22,,NULL,"LEGACY TENURE"
