AGE,AGE_Distribution
33,30-40
40,30-40
34,30-40
41,40-50
30,20-30
53,50-60
44,40-50
35,30-40
27,20-30
44,40-50
48,40-50
58,50-60
40,30-40
52,50-60
56,50-60
51,50-60
57,50-60
37,30-40
52,50-60
41,40-50
24,20-30
25,20-30
35,30-40
34,30-40
29,20-30
45,40-50
32,30-40
57,50-60
50,40-50
50,40-50
45,40-50
27,20-30
29,20-30
33,30-40
40,30-40
41,40-50
26,20-30
48,40-50
50,40-50
27,20-30
30,20-30
49,40-50
31,30-40
27,20-30
52,50-60
31,30-40
54,50-60
46,40-50
46,40-50
36,30-40
39,30-40
46,40-50
52,50-60
31,30-40
23,20-30
35,30-40
52,50-60
41,40-50
44,40-50
42,40-50
48,40-50
47,40-50
31,30-40
57,50-60
53,50-60
25,20-30
43,40-50
54,50-60
22,20-30
27,20-30
40,30-40
56,50-60
29,20-30
45,40-50
31,30-40
33,30-40
56,50-60
27,20-30
41,40-50
41,40-50
21,20-30
27,20-30
49,40-50
42,40-50
30,20-30
31,30-40
26,20-30
39,30-40
29,20-30
55,50-60
46,40-50
28,20-30
32,30-40
55,50-60
42,40-50
30,20-30
45,40-50
46,40-50
27,20-30
56,50-60
30,20-30
45,40-50
53,50-60
48,40-50
45,40-50
47,40-50
33,30-40
47,40-50
33,30-40
25,20-30
54,50-60
37,30-40
58,50-60
48,40-50
37,30-40
38,30-40
54,50-60
45,40-50
46,40-50
31,30-40
23,20-30
42,40-50
47,40-50
51,50-60
26,20-30
39,30-40
37,30-40
33,30-40
33,30-40
26,20-30
50,40-50
27,20-30
22,20-30
50,40-50
33,30-40
44,40-50
38,30-40
49,40-50
34,30-40
45,40-50
56,50-60
37,30-40
57,50-60
44,40-50
28,20-30
33,30-40
30,20-30
31,30-40
44,40-50
29,20-30
55,50-60
58,50-60
33,30-40
40,30-40
36,30-40
32,30-40
40,30-40
34,30-40
24,20-30
29,20-30
51,50-60
37,30-40
52,50-60
48,40-50
29,20-30
43,40-50
58,50-60
38,30-40
23,20-30
29,20-30
36,30-40
31,30-40
42,40-50
52,50-60
56,50-60
58,50-60
57,50-60
58,50-60
30,20-30
49,40-50
58,50-60
53,50-60
55,50-60
51,50-60
31,30-40
32,30-40
52,50-60
42,40-50
41,40-50
55,50-60
52,50-60
40,30-40
56,50-60
26,20-30
31,30-40
45,40-50
28,20-30
47,40-50
28,20-30
37,30-40
44,40-50
35,30-40
53,50-60
44,40-50
33,30-40
43,40-50
27,20-30
50,40-50
27,20-30
23,20-30
47,40-50
24,20-30
45,40-50
38,30-40
31,30-40
27,20-30
51,50-60
43,40-50
32,30-40
39,30-40
31,30-40
40,30-40
33,30-40
25,20-30
56,50-60
35,30-40
52,50-60
54,50-60
42,40-50
52,50-60
38,30-40
22,20-30
40,30-40
37,30-40
24,20-30
47,40-50
41,40-50
57,50-60
53,50-60
35,30-40
30,20-30
24,20-30
26,20-30
47,40-50
23,20-30
44,40-50
42,40-50
38,30-40
31,30-40
56,50-60
39,30-40
31,30-40
51,50-60
32,30-40
38,30-40
27,20-30
56,50-60
38,30-40
43,40-50
23,20-30
49,40-50
49,40-50
29,20-30
32,30-40
34,30-40
53,50-60
51,50-60
52,50-60
29,20-30
47,40-50
40,30-40
22,20-30
35,30-40
34,30-40
31,30-40
27,20-30
53,50-60
48,40-50
33,30-40
37,30-40
49,40-50
30,20-30
44,40-50
49,40-50
25,20-30
50,40-50
29,20-30
42,40-50
53,50-60
27,20-30
40,30-40
25,20-30
22,20-30
54,50-60
56,50-60
38,30-40
57,50-60
26,20-30
56,50-60
54,50-60
58,50-60
56,50-60
51,50-60
57,50-60
44,40-50
30,20-30
52,50-60
44,40-50
28,20-30
29,20-30
58,50-60
32,30-40
36,30-40
26,20-30
23,20-30
42,40-50
34,30-40
43,40-50
24,20-30
36,30-40
57,50-60
25,20-30
44,40-50
51,50-60
49,40-50
38,30-40
52,50-60
58,50-60
42,40-50
44,40-50
34,30-40
23,20-30
32,30-40
46,40-50
31,30-40
42,40-50
35,30-40
54,50-60
27,20-30
26,20-30
43,40-50
45,40-50
33,30-40
36,30-40
51,50-60
45,40-50
22,20-30
37,30-40
33,30-40
56,50-60
24,20-30
55,50-60
54,50-60
32,30-40
50,40-50
42,40-50
